title,published_weekday,published_time_of_day,duration_seconds,views,likes,views_per_day,likes_per_day,tags_clean,is_outlier
What is Data Collection? | Data Fundamentals for Beginners,Tuesday,Morning,283,12598,507,95.0,4.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
What are File Types? | Data Fundamentals for Beginners,Tuesday,Morning,387,8955,341,64.0,3.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
What are Data Types? | Data Fundamentals for Beginners,Tuesday,Morning,294,9872,406,67.0,3.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
"Learn Power BI in Under 3 Hours | Formatting, Visualizations, Dashboards + Full Project",Tuesday,Morning,7518,299800,5067,1421.0,25.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Coding with R and AI Now on Analyst Builder!,Tuesday,Morning,501,5967,185,28.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
"Learn Tableau in Under 2 hours | Dashboards, Relationships, Visualizations + Mini Project",Tuesday,Morning,5410,116335,2160,518.0,10.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
"Learn Excel in Under 3 Hours | Pivot Tables, Lookups, Data Cleaning",Tuesday,Morning,9516,66054,1693,285.0,8.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
"Learn Pandas in Under 3 Hours | Filtering, Joins, Indexing, Data Cleaning, Visualizations",Tuesday,Morning,9607,65250,1600,274.0,7.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Free Data Analyst Bootcamp 2024,Thursday,Morning,31,12414,1030,51.0,5.0,[],0
"Learn Python in Under 3 Hours | Variables, For Loops, Web Scraping + Full Project",Tuesday,Morning,9121,46098,1292,188.0,6.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Learn SQL Beginner to Advanced in Under 4 Hours,Tuesday,Morning,14698,675931,15025,2672.0,60.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
AWS Quicksight | AWS Essentials,Tuesday,Morning,730,20989,307,81.0,2.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
