video_id,title,published_at,views,likes,comments,tags,duration,duration_seconds,playlist_title
ySq0cgkZiX4,Top 10 Udemy Courses for Data Analysts,2020-10-22T15:14:21Z,198266,5212,304,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Udemy Courses', 'Udemy courses for data analyst', 'Udemy courses for Data Scientist', 'Udemy courses for data', 'Data analyst courses', 'Data scientist courses', 'Udemy courses for SQL', 'Udemy courses for excel', 'Udemy courses for free', 'Udemy courses for data analysis', 'Udemy courses for Python']",PT10M57S,657,Data Analyst Courses
aJ9Q10v8Nrc,Data Analyst Certifications | Are They Worth It? | Alex The Analyst Show | Episode 7,2020-10-20T14:08:32Z,180297,6206,986,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Certifications', 'Data Analyst Certification', 'Alex The Analyst', 'Certifications for data analysts', 'Data Science Certifications', 'Certifications for Data Scientists', 'Microsoft Certification', 'Tableau Certification', 'AWS Certification', 'Azure Certification', 'Coursera Certification', 'Data Scientist Certification', 'Udemy Certification', 'Tableau Certifications', 'Data Analyst Certifications']",PT33M17S,1997,Alex The Analyst Show
C2ik_qR5GOU,Working at a Startup vs Fortune 500 Company | Alex The Analyst Show | Episode 6,2020-10-15T15:33:32Z,4881,181,74,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'working at a startup', 'Data analyst at startup', 'data analyst fortune 500', 'startup vs big company', 'startup vs fortune 500 company', 'small vs big company', 'working at a small vs big company', 'working at a fortune 500 company']",PT29M22S,1762,Alex The Analyst Show
mLUzFXPPa4I,Top 10 Coursera Courses for Data Analysts,2020-10-13T14:40:18Z,116112,4932,288,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Coursera', 'Coursera Courses', 'Coursera Courses for Data Analysts', 'Coursera Courses for Data Scientists', 'Coursera courses for data analysis', 'Coursera courses for data science', 'Best Data analyst courses', 'Best data science courses', 'best online courses for data analysts', 'best online courses for data scientists', 'data analyst coursera', 'data scientist coursera', 'coursera for data science']",PT10M33S,633,Data Analyst Courses
XmFhpoS6Etk,Imposter Syndrome in Tech | Alex The Analyst Show | Episode 5,2020-10-08T14:26:27Z,7642,375,176,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Imposter Syndrome', 'Imposter Syndrome in Tech', 'feeling like an imposter at work', 'Data Analyst Imposter Syndrome', 'Data Science Imposter Syndrome', 'Data Scientist Imposter Syndrome']",PT25M56S,1556,Alex The Analyst Show
1xT68oeQTd0,Data Analyst Expectations vs Reality,2020-10-06T14:52:33Z,75999,2797,187,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Expectation vs reality', 'Expectation vs reality Data Analyst', 'Data Analyst reality', 'Data Analyst Expectations', 'Data Analyst expectation vs reality', 'Data Scientist expectation vs reality', 'Data Scientist reality', 'data analyst expectations vs reality', 'Data scientist expectations vs reality']",PT3M56S,236,
eTsHJoMmhYQ,Covid and the Data Analyst Job Market | Alex The Analyst Show | Episode 4,2020-10-01T13:53:17Z,7395,254,161,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Covid', 'data analyst job market', 'data analyst covid', 'data analyst coronavirus', 'how covid affects tech', 'covid and the job market', 'job market for data analysts']",PT26M6S,1566,Alex The Analyst Show
8SolrjsGqzE,Self Taught vs Boot Camp vs Degree | Alex The Analyst Show | Episode 3,2020-09-24T15:29:17Z,45920,1522,717,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'boot camp', 'data analyst boot camp', 'data analyst bootcamp', 'bootcamp vs degree', 'self taught vs boot camp', 'self taught data analyst', 'self taught vs degree', 'degree for data analyst', 'degrees for data analyst', 'should data analysts do bootcamps', 'best degree for data analyst', 'self taught vs boot camp vs degree', 'self taught vs bootcamp vs college']",PT28M,1680,Alex The Analyst Show
SKsjWzzz4mY,Top 5 Reasons You'll Be a Good Data Analyst,2020-09-22T13:03:29Z,14918,619,82,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', ""reason you'll be a good data analyst"", 'will I be a good data analyst', 'should I become a data analyst', 'should I be an analyst', 'reasons you should become an analyst', 'reasons you should become a data analyst', 'reasons I should become a data analyst', 'Reason to become an analyst', 'Reason to become a data analyst', 'is data analtyics for me', 'is data analytics right for me']",PT3M44S,224,
Z2AachB309o,How I Changed Careers to Become a Data Analyst | Alex The Analyst Show | Episode 2,2020-09-10T13:16:00Z,418477,12161,3820,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Data Analyst with no experience', 'Switching Careers to Become a Data Analyst', 'How I became a Data Analyst', 'Switch Careers to Data Analyst', 'How to Become Data Analyst from Different Job', 'Entry Level Data Analyst', 'Career Change to Data Analyst', 'how to switch careers to become a data analyst', 'changing careers to data analyst', 'data analyst career change', 'becoming a data analyst']",PT40M54S,2454,Alex The Analyst Show
