video_id;title;published_at;views;likes;comments;duration_seconds;tags_array;published_us_est;published_year;published_month;published_quarter;published_weekday;published_hour;like_ratio;comment_ratio;publish_time_of_day
LO7hzmoHEIE;500k Livestream!!;2023-06-28 17:11:25;6281;383;24;6232;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst",livestream};2023-06-28 13:11:25;2023;6;Q2;Wednesday;13;0.061;0.0038;Afternoon
bargNl2WeN4;BeautifulSoup + Requests | Web Scraping in Python;2023-06-27 12:00:28;214905;3758;77;418;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst",python,"python web scraping",beautifulsoup,requests,"beautifulsoup and requests"};2023-06-27 08:00:28;2023;6;Q2;Tuesday;8;0.0175;0.0004;Morning
q-kbzWjyPak;Inspecting Web Pages with HTML | Web Scraping in Python;2023-06-20 12:00:43;85960;2091;39;355;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst",python,"python web scraping","web scraping in python"};2023-06-20 08:00:43;2023;6;Q2;Tuesday;8;0.0243;0.0005;Morning
Liv6eeb1VfE;Exploratory Data Analysis in Pandas | Python Pandas Tutorials;2023-06-06 12:00:14;191321;4263;243;1933;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst",pandas,"pandas python","python pandas","pandas tutorial","eda in python","eda in pandas","pandas eda","eda pandas","exploratory data analysis","exploratory data analysis in pandas"};2023-06-06 08:00:14;2023;6;Q2;Tuesday;8;0.0223;0.0013;Morning
5l2d_Rv0odE;What is Microsoft Fabric? | New Data Analytics Platform!;2023-05-29 12:00:07;318639;5937;164;443;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst"};2023-05-29 08:00:07;2023;5;Q2;Monday;8;0.0186;0.0005;Morning
rVhHGPDzEck;Data Analyst Q/A Livestream | October Livestream;2022-10-31 01:22:29;5745;181;11;4498;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst",livestream};2022-10-30 21:22:29;2022;10;Q4;Sunday;21;0.0315;0.0019;Evening
bDhvCp3_lYw;Data Cleaning in Pandas | Python Pandas Tutorials;2023-05-23 12:30:17;428877;10107;480;2317;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst",pandas,"pandas tutorials","python pandas","pandas python","data cleaning","data cleaning in pandas","data cleaning in python","how to clean data","pandas data cleaning"};2023-05-23 08:30:17;2023;5;Q2;Tuesday;8;0.0236;0.0011;Morning
IMU1V-JugKo;The Ultimate Data Analytics Career Plan for 2023 | CareerFoundry Webinar;2023-05-16 16:18:56;59006;1881;52;4248;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst"};2023-05-16 12:18:56;2023;5;Q2;Tuesday;12;0.0319;0.0009;Afternoon
FpgkpjSyBOw;State of AI in Analytics | Will AI be the End of Data Analysts?;2023-05-15 12:30:11;46565;1379;377;4352;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst","AI Analytics","Analytics in AI"};2023-05-15 08:30:11;2023;5;Q2;Monday;8;0.0296;0.0081;Morning
6jtS3Hz19kc;'Google Bard Got An Upgrade! + Google''s New AI Announcements!';2023-05-12 12:15:00;33383;799;80;521;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst","Google Bard",Bard,"Bard AI","Bard Google","Bard Chatbot","Google ChatBot","Google I/O Conference","Google IO","Google I/O","Google Conference","Google Developer Conference","ChatGPT vs Bard","Bard vs ChatGPT",ChatGPT,"ChatGPT Competitors"};2023-05-12 08:15:00;2023;5;Q2;Friday;8;0.0239;0.0024;Morning
JpSMse3eVVg;Creating Visualizations using Pandas Library | Python Pandas Tutorials;2023-05-09 11:30:06;94744;2073;46;1010;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst","visualizations in pandas",pandas,"pandas tutorials","charts in pandas","pandas visualization"};2023-05-09 07:30:06;2023;5;Q2;Tuesday;7;0.0219;0.0005;Morning
TPivN7tpdwc;Merging DataFrames in Pandas | Python Pandas Tutorials;2023-05-02 12:06:33;150277;3228;83;1329;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst","pandas merge","merge pandas",pandas,"pandas tutorial","join pandas","join in pandas","concatenate in pandas","concatenate pandas"};2023-05-02 08:06:33;2023;5;Q2;Tuesday;8;0.0215;0.0006;Morning
kky9MMydnOA;Data Analyst Q/A Livestream | April Livestream | Ask Me Anything!;2023-04-27 16:32:02;10324;338;27;5944;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst",livestream};2023-04-27 12:32:02;2023;4;Q2;Thursday;12;0.0327;0.0026;Afternoon
2izXQUoXyjA;How to Integrate ChatGPT in Jupyter Notebooks for Free!;2023-04-25 11:30:01;65530;1251;59;481;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst",Chatgpt,"Jupyter notebooks","Add ChatGPT","ChatGPT in Jupyter Notebooks"};2023-04-25 07:30:01;2023;4;Q2;Tuesday;7;0.0191;0.0009;Morning
zilfrWwbteQ;7 Ways to Use ChatGPT for Analytics | Webinar;2023-04-18 16:18:50;39367;1078;31;4135;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst"};2023-04-18 12:18:50;2023;4;Q2;Tuesday;12;0.0274;0.0008;Afternoon
PJINexERxOs;Google Business Intelligence Professional Certification Review;2023-04-18 11:30:08;46593;1260;74;424;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst","Google certifications","Google Business Certification","Google Business Intelligence Certification on Course","Coursera Google Certification"};2023-04-18 07:30:08;2023;4;Q2;Tuesday;7;0.027;0.0016;Morning
gTf2GLEhKgA;Google Advanced Data Analytics Professional Certificate First Look | Is it Worth it?;2023-04-10 11:30:21;159871;4523;411;695;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst","Google Certification","Google Data Analyst","Google Data Analyst Certification","Google Advanced Data Analyst","Google Advanced Data analytics","Google Advanced Data Analytics Certification","Google Advanced Data Analytics Certification Review"};2023-04-10 07:30:21;2023;4;Q2;Monday;7;0.0283;0.0026;Morning
